,Player_Name,Stats_Span,Matches_Played,Batting_Innings,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Batting_SR,Hundreds_Scored,Fifties_Scored,Ducks,Bowling_Innings,Balls_Bowled,Maidens,Runs_Given,Wickets_Taken,Best_Figures,Bowling_Average,Economy,Bowling_SR,Five_Wicket_Haul,Ten_Wicket_Haul,Catches_Taken,Stumps
0,A Ahmadhel,2024-2024,1,1,0,2,2,2.00,33.33,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
1,A Alexander,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,21,0,19,2,2/19,9.50,5.42,10.5,0,0,0,0
2,A Athanaze,2024-2024,4,4,1,75,40,25.00,122.95,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2,0
3,A Balbirnie,2024-2024,12,12,0,298,77,24.83,113.74,0,2,1,0,0,0,0,0,0,0.00,0,0,0,0,2,0
4,A Bohara,2024-2024,14,4,1,1,1*,0.33,16.66,0,0,3,12,232,0,344,11,3/29,31.27,8.89,21.0,0,0,1,0
5,A Chaubey,2024-2024,4,4,0,14,7,3.50,66.66,0,0,1,4,79,0,126,3,3/30,42.00,9.56,26.3,0,0,2,0
6,A Chaudhary,2024-2024,2,1,0,0,0,0.00,0.00,0,0,1,2,48,0,55,3,2/9,18.33,6.87,16.0,0,0,0,0
7,A Dananjaya,2024-2024,2,1,1,4,4*,0.00,400.00,0,0,0,2,36,0,56,2,2/37,28.00,9.33,18.0,0,0,0,0
8,A Davidson Soler,2024-2024,9,5,0,90,51,18.00,111.11,0,1,1,0,0,0,0,0,0,0.00,0,0,0,0,4,5
9,A Desai,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,12,0,21,0,0,0.00,10.50,0,0,0,1,0
10,A Dizija,2024-2024,9,9,0,73,26,8.11,61.86,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,3,0
11,A Donovan,2024-2024,3,2,1,2,1*,2.00,20.00,0,0,0,3,24,0,31,0,0,0.00,7.75,0,0,0,0,0
12,A Dowling,2024-2024,1,1,0,2,2,2.00,66.66,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,A Dutt,2024-2024,11,7,3,35,15*,8.75,100.00,0,0,2,11,228,1,278,12,3/22,23.16,7.31,19.0,0,0,0,0
14,A Gasteratos,2024-2024,4,4,1,13,8*,4.33,44.82,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,A Gorawara,2024-2024,1,1,0,9,9,9.00,128.57,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
16,A Govorko,2024-2024,4,1,1,1,1*,0.00,100.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,4,0
17,A Hawoe,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,6,0,5,0,0,0.00,5.00,0,0,0,0,0
18,A Husain,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,24,0,26,1,1/26,26.00,6.50,24.0,0,0,1,0
19,A Ilaoa,2024-2024,6,4,1,15,12,5.00,107.14,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,7,1
20,A Johnson,2024-2024,13,13,0,273,74,21.00,120.79,0,2,2,1,12,0,4,0,0,0.00,2.00,0,0,0,2,0
21,A Kadowaki Fleming,2024-2024,3,3,1,127,65*,63.50,160.75,0,1,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
22,A Kalasi,2024-2024,8,4,4,14,8*,0.00,107.69,0,0,0,8,168,1,108,11,2/9,9.81,3.85,15.2,0,0,2,0
23,A Kaul,2024-2024,6,4,1,38,28*,12.66,115.15,0,0,0,3,35,0,31,4,3/20,7.75,5.31,8.7,0,0,3,0
24,A Kirschbaum,2024-2024,1,1,1,5,5*,0.00,125.00,0,0,0,1,6,0,1,0,0,0.00,1.00,0,0,0,0,0
25,A Limdawala,2024-2024,15,12,3,206,54*,22.88,91.15,0,1,0,12,211,0,202,12,2/15,16.83,5.74,17.5,0,0,8,0
26,A Magdalenic,2024-2024,3,3,1,7,7*,3.50,36.84,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
27,A Maheshwari,2024-2024,7,5,0,31,16,6.20,77.50,0,0,1,5,83,0,140,4,2/41,35.00,10.12,20.7,0,0,3,0
28,A Manepalli,2024-2024,1,1,0,9,9,9.00,100.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,A Mansale,2024-2024,7,7,1,258,82,43.00,136.50,0,3,0,0,0,0,0,0,0,0.00,0,0,0,0,5,0
30,A Martel,2024-2024,11,5,1,39,20,9.75,108.33,0,0,0,11,181,0,228,7,2/19,32.57,7.55,25.8,0,0,3,0
31,A McAuley,2024-2024,5,5,0,22,16,4.40,73.33,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,1,0
32,A Mehmood,2024-2024,4,1,1,14,14*,0.00,350.00,0,0,0,3,42,0,69,0,0,0.00,9.85,0,0,0,1,0
33,A Mene-Ejegi,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
34,A Mundra,2024-2024,4,4,1,153,56*,51.00,164.51,0,1,0,0,0,0,0,0,0,0.00,0,0,0,0,4,1
35,A Mutreja,2024-2024,5,3,0,12,9,4.00,80.00,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,3,0
36,AA Gajic,2024-2024,7,4,3,5,4,5.00,33.33,0,0,0,6,108,0,186,5,2/27,37.20,10.33,21.6,0,0,0,0
37,AC Agar,2024-2024,2,1,0,2,2,2.00,40.00,0,0,0,2,48,1,56,1,1/39,56.00,7.00,48.0,0,0,1,0
38,AD Fofana,2024-2024,3,3,0,3,2,1.00,16.66,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
39,AD Mathews,2024-2024,12,10,4,268,66*,44.66,134.00,0,1,0,11,140,0,189,7,2/9,27.00,8.10,20.0,0,0,3,0
40,ADS Fletcher,2024-2024,4,3,0,34,29,11.33,109.67,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2,1
41,AF Milne,2024-2024,6,3,0,10,10,3.33,76.92,0,0,2,6,132,0,245,11,4/33,22.27,11.13,12.0,0,0,0,0
42,AGS Gous,2024-2024,23,22,1,692,81,32.95,145.68,0,6,1,0,0,0,0,0,0,0.00,0,0,0,0,4,1
43,AJ Hosein,2024-2024,20,9,3,43,15,7.16,82.69,0,0,2,20,414,1,502,20,5/11,25.10,7.27,20.7,1,0,3,0
44,AJ Jabiri,2024-2024,5,4,0,30,14,7.50,50.84,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2,0
45,AJ Mosca,2024-2024,5,4,1,87,31,29.00,106.09,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,2,0
46,AK Markram,2024-2024,18,18,2,249,46,15.56,119.71,0,0,1,12,120,0,181,3,1/4,60.33,9.05,40.0,0,0,11,0
47,AM Fernando,2024-2024,4,2,2,1,1*,0.00,50.00,0,0,0,3,60,0,95,2,1/11,47.50,9.50,30.0,0,0,1,0
48,AM Hardie,2024-2024,6,4,2,75,28,37.50,138.88,0,0,0,4,66,0,90,4,2/18,22.50,8.18,16.5,0,0,1,0
49,AM Kimote,2024-2024,11,6,2,40,20,10.00,67.79,0,0,1,9,123,2,101,10,2/12,10.10,4.92,12.3,0,0,5,0
50,AN Aminou,2024-2024,5,3,0,11,11,3.66,68.75,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
51,AN Hyobeom,2024-2024,4,1,0,1,1,1.00,33.33,0,0,0,4,48,0,52,3,3/8,17.33,6.50,16.0,0,0,0,0
52,AN Lascu,2024-2024,4,4,1,129,72*,43.00,120.56,0,1,0,4,90,0,119,7,5/21,17.00,7.93,12.8,1,0,2,0
53,AR Balla,2024-2024,5,5,2,24,7,8.00,28.57,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
54,ARA Chambers,2024-2024,4,4,0,66,33,16.50,86.84,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
55,AS Joseph,2024-2024,15,6,4,58,21*,29.00,120.83,0,0,0,15,333,0,473,20,4/19,23.65,8.52,16.6,0,0,4,0
56,AS Mehmi,2024-2024,4,4,0,58,29,14.50,93.54,0,0,0,3,44,0,53,2,1/11,26.50,7.22,22.0,0,0,3,0
57,ASF Sirah,2024-2024,3,2,0,15,12,7.50,78.94,0,0,0,3,60,0,50,5,3/16,10.00,5.00,12.0,0,0,0,0
58,AUKDS Kalugala,2024-2024,5,5,0,113,42,22.60,121.50,0,0,0,2,24,0,41,1,1/16,41.00,10.25,24.0,0,0,2,0
59,AV Lazarus,2024-2024,17,16,4,435,95,36.25,123.22,0,4,0,3,13,0,15,0,0,0.00,6.92,0,0,0,7,0
60,Aadil Bhaiyat,2024-2024,5,5,0,31,21,6.20,88.57,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,4,0
61,Aakash Chand,2024-2024,3,2,1,2,2,2.00,33.33,0,0,0,3,60,0,84,7,3/27,12.00,8.40,8.5,0,0,1,0
62,Aamer Jamal,2024-2024,2,2,1,23,14*,23.00,153.33,0,0,0,2,48,0,97,1,1/42,97.00,12.12,48.0,0,0,1,0
63,Aamir Kaleem,2024-2024,3,3,0,47,36,15.66,151.61,0,0,0,3,54,0,74,3,2/28,24.66,8.22,18.0,0,0,1,0
64,Aamir Lal,2024-2024,6,6,2,111,48,27.75,100.90,0,0,0,6,120,0,121,8,2/12,15.12,6.05,15.0,0,0,0,0
65,Aarif Sheikh,2024-2024,10,7,0,89,38,12.71,118.66,0,0,2,2,24,0,53,1,1/37,53.00,13.25,24.0,0,0,0,0
66,Aarnav Patel,2024-2024,2,1,1,1,1*,0.00,20.00,0,0,0,2,30,0,35,3,3/22,11.66,7.00,10.0,0,0,0,0
67,Aaron Jones,2024-2024,20,19,3,332,94*,20.75,116.08,0,1,1,2,18,0,20,2,2/8,10.00,6.66,9.0,0,0,4,0
68,Aasif Sheikh,2024-2024,21,21,0,457,52,21.76,111.19,0,2,0,0,0,0,0,0,0,0.00,0,0,0,0,8,6
69,Aayan Afzal Khan,2024-2024,13,5,1,35,16,8.75,62.50,0,0,1,13,300,1,288,19,3/7,15.15,5.76,15.7,0,0,4,0
70,Abbas Afridi,2024-2024,12,7,2,65,20*,13.00,135.41,0,0,0,12,221,0,321,21,3/17,15.28,8.71,10.5,0,0,4,0
71,Abbas Ghani,2024-2024,4,4,0,50,36,12.50,108.69,0,0,2,3,42,0,68,3,2/36,22.66,9.71,14.0,0,0,5,0
72,Abdul Hai Muhammad,2024-2024,3,3,0,21,21,7.00,150.00,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
73,Abdul Hashmi,2024-2024,2,2,0,29,29,14.50,80.55,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,2,0
74,Abdul Majid,2024-2024,9,2,1,2,1*,2.00,40.00,0,0,0,8,174,1,160,9,3/21,17.77,5.51,19.3,0,0,3,0
75,Abdul Majid Malik,2024-2024,2,0,0,0,0,0.00,0.00,0,0,0,1,24,0,15,0,0,0.00,3.75,0,0,0,0,0
76,Abdul Naser Baluch,2024-2024,3,2,0,15,15,7.50,187.50,0,0,1,3,66,1,70,2,2/11,35.00,6.36,33.0,0,0,0,0
77,Abdul Samad,2024-2024,4,0,0,0,0,0.00,0.00,0,0,0,4,34,0,13,4,2/4,3.25,2.29,8.5,0,0,1,0
78,Abdul Waheed,2024-2024,12,10,2,392,99,49.00,151.93,0,3,1,3,30,0,38,2,1/10,19.00,7.60,15.0,0,0,7,0
79,Abduljabar Jabarkhail,2024-2024,6,2,0,18,18,9.00,150.00,0,0,1,6,126,0,175,5,2/30,35.00,8.33,25.2,0,0,0,0
80,Abdullah Akbarjan,2024-2024,7,1,0,0,0,0.00,0.00,0,0,1,7,131,0,162,14,4/11,11.57,7.41,9.3,0,0,3,0
81,Abdullah Khan Lodhi,2024-2024,4,4,0,95,36,23.75,87.15,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,1
82,Abdullah Mahmood,2024-2024,4,3,0,4,3,1.33,44.44,0,0,1,3,34,0,46,2,2/23,23.00,8.11,17.0,0,0,2,0
83,Abdullah Rana,2024-2024,4,2,0,35,25,17.50,175.00,0,0,0,4,66,0,97,6,3/16,16.16,8.81,11.0,0,0,0,0
84,Abdur Rahman Sudais,2024-2024,3,3,1,57,36,28.50,126.66,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,2,0
85,Abhilash Patil,2024-2024,1,1,0,12,12,12.00,42.85,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
86,Abhishek Ahuja,2024-2024,3,3,0,32,27,10.66,103.22,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,2,1
87,Abhishek Sharma,2024-2024,12,11,0,256,100,23.27,171.81,1,1,1,7,96,0,134,3,1/10,44.66,8.37,32.0,0,0,3,0
88,Abrar Ahmed,2024-2024,3,0,0,0,0,0.00,0.00,0,0,0,2,48,0,46,2,2/15,23.00,5.75,24.0,0,0,0,0
89,Abrar Bilal,2024-2024,9,6,1,86,36,17.20,94.50,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,10,3
90,Abubacarr Kuyateh,2024-2024,3,3,0,35,33,11.66,76.08,0,0,1,3,66,0,102,3,1/16,34.00,9.27,22.0,0,0,0,0
91,Abul Farhad,2024-2024,5,2,1,3,3*,3.00,50.00,0,0,1,4,69,1,97,5,3/30,19.40,8.43,13.8,0,0,1,0
92,Adam Khalaf,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
93,Adeel Tariq,2024-2024,2,0,0,0,0,0.00,0.00,0,0,0,1,12,0,13,1,1/13,13.00,6.50,12.0,0,0,2,0
94,Adil Butt,2024-2024,5,5,0,157,64,31.40,153.92,0,1,0,5,108,2,105,5,3/18,21.00,5.83,21.6,0,0,2,0
95,Adil Khan,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,24,0,18,2,2/18,9.00,4.50,12.0,0,0,0,0
96,Aditya Panwar,2024-2024,4,3,1,29,21,14.50,103.57,0,0,0,4,59,1,107,3,2/26,35.66,10.88,19.6,0,0,2,0
